Organization Name	Organization Name URL	Full Description	Industries	Website	Headquarters Location	Description	CB Rank (Company)	SEMrush - Monthly Visits	SEMrush - Average Visits (6 months)	SEMrush - Monthly Visits Growth	SEMrush - Visit Duration Growth	SEMrush - Visit Duration	SEMrush - Page Views / Visit	SEMrush - Page Views / Visit Growth	SEMrush - Bounce Rate	SEMrush - Bounce Rate Growth	SEMrush - Global Traffic Rank	SEMrush - Monthly Rank Change (#)	SEMrush - Monthly Rank Growth	Headquarters Regions	Operating Status	Founded Date	Founded Date Precision	Number of Founders	Number of Employees	Founders	Apptopia - Number of Apps	Apptopia - Downloads Last 30 Days	Aberdeen - IT Spend	Aberdeen - IT Spend Currency	Aberdeen - IT Spend Currency (in USD)	PP URL
GZD	https://www.crunchbase.com/organization/gzd	GZD is committed to providing excellence in customer service and sales for information technology for business clients. Their clients trust and appreciate the integrity of their recommendations and implementation. They like to work with us because they tailor their solutions to their needs and they coordinate all aspects of small or large scale projects.	Cloud Infrastructure, Information Technology, Software, Web Design	https://gzd.com.au	Stafford, Staffordshire, United Kingdom	GZD is an IT company providing web design, hosted, and cloud services.	610,295	1,060		-95.3%	1,850%	39	1.25	10.77%	75%	-13.94%	6,796,168	5,492,445	421.29%		Active	2001-01-01	year		11-50							https://webdemo.gzd.com.au/privacy-policy/
101 Digital Solutions Ltd	https://www.crunchbase.com/organization/101-digital-solutions-ltd	101 Digital Solutions offers IT support and cloud services to small and large businesses. They understand that switching your IT provider can be a big deal. They collaborate with their company to ensure that everything runs smoothly and without hiccups. Consider us a member of the team. With cost-effective IT infrastructure and support, users ensure that their IT works harder for their business, whether it's managing their network, servers, or security. Allow their cloud specialists to relieve them of the burden of managing all of their IT remotely in the cloud, including maintenance, support, and backups. They are a friendly group of IT specialists work with small businesses and organisations.	Cloud Infrastructure, Cloud Storage, Information Technology, IT Infrastructure, Software	https://101digitalsolutions.co.uk	Barnsley, Gloucestershire, United Kingdom	101 Digital Solutions provide IT support, cloud service to small and large organizations.	796,371	1,025		76.72%	85.71%	13	2.0	0%	0%		6,886,720	-287,017	-4%		Active	2012-01-01	year		1-10							
IXX IT	https://www.crunchbase.com/organization/ixx-it		Cloud Infrastructure, Consulting, Cyber Security, Information Technology, IT Infrastructure, Web Hosting	https://www.ixx.se/	Malmö, Skane Lan, Sweden	IXX IT provides IT services, as well as safe IT, secure cloud services, and mobile solutions.	377,175	1,005		280.68%		0	1.0	0%	100%	0%	6,945,749	-1,748,671	-20.11%	European Union (EU), Nordic Countries, Scandinavia	Active	1985-01-01	year		51-100				4325085.0	USD	4325085.0	
Infradata	https://www.crunchbase.com/organization/infradata	Infradata is a Network Integrator dedicated to supply, implement and maintain Next Generation Networks for Service Providers.	Cloud Infrastructure, Cloud Security, Network Security	http://www.infradata.com	Leiden, Zuid-Holland, The Netherlands	Infradata is a Network Integrator dedicated to supply, implement and maintain Next Generation Networks for Service Providers.	200,302	985		166.22%	1,275.68%	509	4.16	38.68%	0%		7,057,673	-1,759,785	-19.96%	European Union (EU)	Active	2004-01-01	year	1.0	51-100	Leon de Keijzer						https://www.infradata.com/privacy-statement/
Softwerx	https://www.crunchbase.com/organization/softwerx		Cloud Infrastructure, Cyber Security, Software	https://softwerx.com/	Cambridge, Cambridgeshire, United Kingdom	Softwerx is a software company that focuses on offering its services within cybersecurity, cloud infrastructure and compliance.	863,254	956				0	1.0		100%		7,025,536				Active	1999-01-01	year		11-50							https://www.softwerx.com/privacy-policy/
Info Service Belgium	https://www.crunchbase.com/organization/info-service-belgium		Cloud Infrastructure, Information Technology, Web Apps	http://www.infserv.com	Gent, Oost-Vlaanderen, Belgium	ISB offers a wide range of IT and communication solutions like database maintenance, cloud solutions, web-based applications, etc.	1,191,707	945	607.5	476.22%		21	1.33	33.33%	66.67%	-33.33%	7,037,545	-2,352,651	-25.05%	European Union (EU)	Active	1987-01-01	day		11-50				3660563.0	USD	3660563.0	
Skyworkz	https://www.crunchbase.com/organization/skyworkz	Skyworkz provides solutions and services to businesses entering the cloud technology industry. It assists companies in using the cloud platform, helps with developer tools, and trains employees. Skyworkz is based in Utrecht, Netherlands.	Cloud Data Services, Cloud Infrastructure, Cloud Management, Information Technology, Software	https://skyworkz.nl/	Utrecht, Utrecht, The Netherlands	Skyworkz provides solutions and services to businesses entering the cloud technology industry.	533,862	940				0	1.0		100%		7,047,090			European Union (EU)	Active											
Flexamit	https://www.crunchbase.com/organization/flexamit		Cloud Infrastructure, IT Management, Security	https://flexamit.com	Kontich, Antwerpen, Belgium	Flexamit is an IT company that offers cloud infrastructure, security and managed IT solutions to SMEs for business development.	2,119,542	938				0	1.0		100%		7,121,323			European Union (EU)	Active	2012-01-01	year		11-50							
Exe	https://www.crunchbase.com/organization/exe		Cloud Infrastructure, Cloud Security, Software	http://www.exe.sk	Bratislava, Bratislava, Slovakia (Slovak Republic)	Exe focuses on cloud solutions, software asset management, and data backup security services.	518,450	927	677.5	26.81%	3,500%	36	2.27	87.21%	36.68%	-53.53%	7,134,415	-374,123	-4.98%	European Union (EU)	Active	1990-01-01	day		101-250							
AlleoTech Ltd	https://www.crunchbase.com/organization/alleotech-ltd	AlleoTech Ltd is a technology startup based in Limassol, Cyprus.  It specializes in cloud computing and infrastructure, web development, and blockchain.	Blockchain, Cloud Computing, Cloud Infrastructure, Consulting, Information Technology, Internet, Software, Web Development	https://alleo.tech	Limassol, Limassol, Cyprus	Cloud, Web Development, Blockchain	94,732	896		225.82%		7	1.28	28.12%	71.88%	-28.12%	7,171,588	-2,087,626	-22.55%	European Union (EU)	Active	2019-07-08	day	2.0	11-50	George Constantinou, Leonid Mamchenkov						https://alleo.tech/privacy-policy/
Cloud Maker	https://www.crunchbase.com/organization/cloud-maker	Cloud Maker is a Visual DevOps platform that enables organisations to easily design and build scalable cloud solutions.	Cloud Computing, Cloud Infrastructure, Software	https://cloudmaker.ai	London, England, United Kingdom	Cloud Maker is a Visual DevOps platform that enables organisations to easily design and build scalable cloud solutions.	243,889	891	1,702.17	-81.1%	-99.64%	0	1.0	0%	100%	0%	7,176,833	3,684,326	105.49%		Active	2017-01-01	year	2.0	11-50	Alex Metaxas, Nick Smith						https://cloudmaker.ai/policies/privacy-policy
Ossia Conseil	https://www.crunchbase.com/organization/ossia-conseil		Asset Management, Cloud Infrastructure, Consulting, Cyber Security, Risk Management	https://www.ossia-conseil.com/	Neuilly-sur-seine, Ile-de-France, France	Ossia Conseil specializes in the financial market, asset and risk management, software, cloud infrastructure, and cyber ​​security services.	853,992	876				0	1.0		100%		7,151,573			European Union (EU)	Active	2006-01-01	year	1.0	51-100	Stephane Lacoste						
Doordeck	https://www.crunchbase.com/organization/doordeck	Doordeck is a smartphone-based access control platform, allowing office users to unlock doors from their smartphone instead of a keycard or keyfob. By using their phone's inbuilt NFC scanner, users can unlock a door in a fraction of a second over WiFi or cellular. What makes Doordeck unique is how it's installed. Unlike 'smart locks', which require existing infrastructure to be ripped out and replaced, Doordeck is the world's first and only platform that can be rolled out to a building without needing ANY new hardware. It's compatible with the industry's most popular existing access control products, with integrations being added continuously. It means if you're running a building that's already set up with keycards and access control — Doordeck can roll out smartphone access to that entire building securely, without any downtime, without any new hardware, and all in under 15 minutes. It's paid via a simple monthly SaaS subscription, with unlimited users.	Cloud Infrastructure, Communication Hardware, Internet of Things, Mobile, SaaS, Security	https://doordeck.com/	London, England, United Kingdom	Doordeck replaces traditional proximity cards with your smartphone.	249,636	863	2,415.83	-59.62%	18.37%	58	1.38	-12.94%	80.76%	-7.31%	7,181,792	2,542,190	54.79%		Active	2015-03-10	day	2.0	1-10	Michael Barnwell, William B.						https://doordeck.com/privacy
CommITment Cloud Computing	https://www.crunchbase.com/organization/commitment-cloud-computing		Cloud Infrastructure, Security, Software	https://www.commitment.nl/	Rotterdam, Zuid-Holland, The Netherlands	CommITment provides a system and network management for small and medium-sized companies in an efficient and customer-friendly manner.	900,659	854				0	1.0		100%		7,220,752			European Union (EU)	Active	1997-01-01	year		11-50							https://www.commitment.nl/privacy-en-disclaimer/
SimpleCloud	https://www.crunchbase.com/organization/simplecloud		Cloud Infrastructure, Information Technology, Software	https://www.simplecloud.io/en/	Madrid, Madrid, Spain	SimpleCloud is a cloud-based workspace for coding, digital content creation & management that operates in both cloud & hybrid environments.	257,833	847	7,648.17	-81.18%	15,660%	0	1.0	-70.51%	100%	96.97%	7,200,554	3,772,329	110.04%	European Union (EU)	Active	2008-01-01	year	1.0	11-50	Sergio González						https://www.simplecloud.io/en/privacy-policy.html
IT Svit	https://www.crunchbase.com/organization/it-svit	IT Svit is a company with more than 14 years of experience in providing IT outsourcing services. From a small group of friends centered at remote server administration, we grew to a team of 50+ DevOps engineers, Big Data architects, and a full-stack web development team. We specialize in providing full-cycle services for startups and lending our technical expertise to ensure the success of our customers. Our services include the following: 1. Startup consulting and idea refinement 2. MVP development, release and scaling 3. Blockchain development and implementation 4. Transition to the cloud from the legacy systems 5. Migration between cloud service providers 6. IT infrastructure design, implementation and optimization 7. CI/CD workflows design and implementation 8. Production environment monitoring, logging and alerting 9. Implementation of Big Data analytics 10. Training of ML&AI models and algorithms 11. Security and compliance audit Besides these major domains of expertise, we deliver custom-tailored solutions like IoT cloud infrastructure configuration and management, serverless computing configuration, building service meshes, building self-healing infrastructures using predictive and prescriptive analytics, etc. IT Svit is always ready to help!	Artificial Intelligence, Big Data, Cloud Computing, Cloud Data Services, Cloud Infrastructure, Data Center Automation, Data Mining, Data Visualization, IaaS, Information Services, IT Infrastructure, Management Information Systems, Network Security	https://itsvit.com	Kharkov, Kharkivs'ka Oblast', Ukraine	IT Svit is one of top 10 Managed Services Providers worldwide. We specialize in providing of DevOps services and building dedicated teams.	284,782	833	1,606	-52.88%	-60%	2	1.14	-17.18%	86.31%	6.07%	7,245,636	2,063,982	39.83%		Active	2005-06-02	day	1.0	51-100	Vladimir Fedak						https://itsvit.com/privacy-policy/
