Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Number of Employees,Full Description,Website,Industries,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth
BERG Spanntechnik,https://www.crunchbase.com/organization/berg-spanntechnik,1918-01-01,year,51-100,"BERG Spanntechnik factory calibration of clamping force measuring devices for all measuring cartridges and associated display units. Their forming technology with automatically moveable clamping systems, fixed clamping systems, and manually moveable clamping systems. They have special application includes hydraulic central distributor, pneumatic central distributor, and hydraulic units.",https://www.berg-spanntechnik.de,"Manufacturing, Productivity Tools, Service Industry","Bielefeld, Nordrhein-Westfalen, Germany",BERG Spanntechnik provides clamping technology.,"824,785","4,769",,-23.99%,,0,1,-85.71%,100%,200.03%,"3,511,306","720,739",25.83%
Mercury Marking Devices,https://www.crunchbase.com/organization/mercury-marking-devices,1918-01-01,year,11-50,,http://www.mercurymarking.com/,"Direct Sales, Manufacturing, Marketing, Productivity Tools","Lake Elsinore, California, United States","Mercury Marking Devices markets a wide range of products such as steel stamps, pin markers, marking machines and engraving equipment.","2,134,056",,,,,,,,,,,,
Draper Tools,https://www.crunchbase.com/organization/draper-tools,1919-01-01,year,501-1000,,https://www.drapertools.com/,"Industrial Engineering, Manufacturing, Mechanical Engineering, Power Grid, Productivity Tools, Wholesale","Eastleigh, Hampshire, United Kingdom","Draper Tools supplies drilling machines, air compressors, screwdrivers, batteries, blades, torches, generators, pumps, and accessories.","285,332","72,237","72,339",-46.95%,102.79%,436,3.81,90.76%,49.21%,-32.35%,"679,199","248,770",57.8%
Gotham Staple,https://www.crunchbase.com/organization/gotham-staple,1919-01-01,day,1-10,"Since 1919, Gotham has been supplying America and the world with top-quality fasteners, fastener tools, & related products. With excellent customer service and a long track record of fastener expertise, Gotham should be your first call. Along with superior product selection and expert advice, Gotham will give the right tool & product for the right job. After almost 100 years of service, Gotham has seen it all, done it all, and survived that ups and downs that come with being in the construction industry. Throughout it all, Gotham has develop a solid foundation built on a team of talented professionals, quality products, and a base of dedicated customers.",http://www.gothamstaple.com/,"Industrial, Productivity Tools, Retail","Cleveland, Ohio, United States","Gotham Staple is a provider of fasteners, fastener tools and related products.","639,757",,,,,,,,,,,,
Rausch,https://www.crunchbase.com/organization/rausch,1919-01-01,day,1-10,,http://www.gratomat.de,"Machinery Manufacturing, Manufacturing, Product Design, Productivity Tools","Wald, Bayern, Germany",Rausch specializes in the development and manufacture of high flexibility metal-cutting machine tools and broaching machines.,"1,758,202",,,,,,,,,,,,
Remington,https://www.crunchbase.com/organization/remington-de0d,1921-01-01,year,,,https://remingtonpowertools.com,"Electronics, Machinery Manufacturing, Productivity Tools","Cleveland, Ohio, United States","Remington is a machinery company that supplies mowers, chainsaws, string trimmers, and leaf blowers.","1,281,905","18,048","40,037.5",-46.65%,"8,766.67%",532,1.34,22.29%,78.23%,-19.64%,"1,605,552","528,831",49.11%
C.Osswald,https://www.crunchbase.com/organization/c-osswald,1921-01-01,year,11-50,,http://www.osswald-buero.de,"Consulting, Printing, Productivity Tools, Supply Chain Management, Technical Support","Hanover, Niedersachsen, Germany","C.Osswald distributes copy papers, toners, office accessories, media technology, and presentation solutions to various businesses.","1,875,437",,,,,,,,,,,,
AB Carter,https://www.crunchbase.com/organization/ab-carter,1922-01-01,year,101-250,,https://abcarter.com,"Industrial, Manufacturing, Productivity Tools, Textiles","Gastonia, North Carolina, United States","AB Carter specializes in the design and development of rings, steel travelers, bobbins, belts and accessories for the spinning industry.","374,644",,,,,,,,,,,,
Williams Form Engineering,https://www.crunchbase.com/organization/williams-form-engineering,1922-01-01,year,251-500,,https://www.williamsform.com,"Hardware, Industrial Engineering, Manufacturing, Mechanical Engineering, Productivity Tools","Belmont, Michigan, United States",WFE has been providing threaded steel bars & accessories for rock & concrete forming hardware systems in the construction industry.,"490,107","4,963","11,760",-52.72%,"5,857.69%","1,549",8.79,697.13%,39.96%,-55.5%,"3,444,892","1,314,831",61.73%
Ramsey chain,https://www.crunchbase.com/organization/ramsey-chain,1923-01-01,year,101-250,,http://www.ramseychain.com,"Industrial Engineering, Manufacturing, Mechanical Design, Mechanical Engineering, Productivity Tools","Charlotte, North Carolina, United States",Ramsey chain is a mechanical engineering company that delivers silent roller chain products and other automotive parts.,"587,545",377,,-94.59%,,51,5.16,415.92%,40.58%,-59.42%,"8,813,011","6,148,422",230.75%
Knuth Werkzeugmaschinen,https://www.crunchbase.com/organization/knuth-werkzeugmaschinen,1923-01-01,year,101-250,,https://www.knuth.de,"Industrial, Manufacturing, Productivity Tools, Wholesale","Wasbek, Schleswig-Holstein, Germany","Knuth Werkzeugmaschinen is a supplier of turning, milling, CNC drilling, grinding, brakes, plasma cutting and bending machines equipment.","637,338",,,,,,,,,,,,
Beta Utensili,https://www.crunchbase.com/organization/beta-utensili,1923-01-01,year,501-1000,"Beta Tools is the ideal partner for your job. Its main goal is to put the clients’ professional work first and to make their daily activities easier thanks to the constant study and renewal of materials, design, ergonomics, functionality, and thanks to avantgarde productive processes. Founded in 1923 by Alessandro Ciceri, during the years Beta Tools became Italy’s leader in the design and production of work tools and professional instruments. The wide product range (30 families and over 15,000 items) is constantly updated to promptly respond to the challenges of the global market. Today Beta is a Group of 6 companies with 8 production sites in Italy (including the 3 historical Beta production sites), 11 subsidiaries worldwide and it is active in more than 100 countries worldwide with over 250 importers.",https://www.beta-tools.com/,"Industrial, Manufacturing, Mechanical Engineering, Productivity Tools","Monza, Lombardia, Italy","Beta Utensili is engaged in the design and production of work tools, professional instruments, and hand tools for industries.","931,753","161,332","119,542",12.79%,231.17%,818,3.47,22.74%,46.79%,-15.62%,"408,815","-7,433",-1.79%
SWANSON TOOL,https://www.crunchbase.com/organization/swanson-tool,1925-01-01,day,51-100,,http://www.swansontoolco.com,"Building Material, Manufacturing, Productivity Tools","Frankfort, Illinois, United States",SWANSON TOOL is a manufacture and sell the Speed company located in Frankfort.,"1,058,712","6,806","6,891.83",30.51%,-26.32%,42,1.1,-79.84%,96.71%,386.71%,"2,847,798","-493,491",-14.77%
Diehl Tool Steel,https://www.crunchbase.com/organization/diehl-tool-steel,1926-01-01,year,11-50,"Diehl Tool Steel is a supplier of tool steel and alloy steel products and services. They distribute tool steel, alloy steel, and powder metal products, including cpm, mold steel carbon steel stainless steel aluminum.",https://www.diehlsteel.com,"Industrial, Manufacturing, Mechanical Design, Productivity Tools","Cincinnati, Ohio, United States",Diehl Tool Steel is a supplier of tool steel products.,"541,676","1,729","1,996.67",-28.88%,,0,1,-1.5%,100%,1.54%,"5,481,836","839,745",18.09%
Huot Manufacturing,https://www.crunchbase.com/organization/huot-manufacturing-company,1926-01-01,year,,,https://www.huot.com,"Manufacturing, Productivity Tools, Sales","Saint Paul, Minnesota, United States","Huot Manufacturing is a tools and equipment manufacturing company that provides CNC tooling, turret tooling, end mills, etc.","793,003","6,779","6,415.67",-43.67%,19.57%,55,1.06,-43.75%,93.64%,255.1%,"2,854,144","895,737",45.74%
Universal /Devlieg,https://www.crunchbase.com/organization/universal-devlieg,1926-01-01,year,1-10,"Universal/Devlieg offers its solutions to the machine tool industry. They provide collet chucks, end mill holders, shell mill holders, and tap chucks. They provide kwik-switch products such as kwik, fast, rugged, accurate, automatic locking. They offers kwik-switch automatic locking spindles and holders.",https://www.universaldevlieg.com,"Manufacturing, Mechanical Design, Mechanical Engineering, Productivity Tools","Saginaw, Michigan, United States",Universal /Devlieg provides tool holding and precision boring solutions.,"1,487,066","1,461",,,,0,1,,100%,,"6,260,438",,
FS System,https://www.crunchbase.com/organization/fs-system,1927-01-01,year,1001-5000,,https://www.fssystem.com,"Agriculture, Farming, Food Processing, Manufacturing, Productivity Tools","Bloomington, Illinois, United States",FS System is a distribution company that supplies a wide range of agricultural and energy-related products and services.,"1,048,772","7,046","11,343.5",40.08%,"3,378.95%",661,4,244.41%,33.33%,-65.27%,"2,781,424","-615,582",-18.12%
E. C. Kitzel & Sons,https://www.crunchbase.com/organization/e-c-kitzel-sons,1927-01-01,year,11-50,"E. C. Kitzel & Sons is a full-service super abrasive cutting tool manufacturer. They manufacture a full range of diamond and CBN tools, including diamond tipped inserts, turning, boring, threading, and grooving tools, BN tipped inserts, turning, boring, and threading tools; and rotary diamond tooling including reamers, drills, multiple diameter tools, porting tools, and form tools.",http://www.kitzel.com,"Manufacturing, Productivity Tools, Sales","Parma, Ohio, United States",E. C. Kitzel & Sons is a tool manufacturing company.,"1,142,953",,,,,,,,,,,,
Warner,https://www.crunchbase.com/organization/warner,1927-01-01,year,101-250,,http://www.warnertool.com/,"Building Material, Productivity Tools, Wholesale","Sacred Heart, Minnesota, United States","Warner makes paint tools for professionals such as bulldogs, putty knives, paint scrapers, and Masonry & Tile Tools.","1,430,331",,,,,,,,,,,,
Benoist Brothers Supply,https://www.crunchbase.com/organization/benoist-brothers-supply,1928-01-01,year,101-250,Benoist Brothers Supply is a full-service wholesale distributor of warm air heating and air conditioning products.,https://benoist.com,"Industrial, Manufacturing, Productivity Tools, Wholesale","Fenton, Illinois, United States",Benoist Brothers Supply is a full-service wholesale distributor of warm air heating and air conditioning products.,"426,744","11,421","30,580",-83.72%,-89.82%,45,1.98,-25.6%,63.1%,35.2%,"2,085,832","1,413,917",210.43%
Wisconsin Knife Works,https://www.crunchbase.com/organization/wisconsin-knife-works,1928-01-01,year,11-50,,https://www.wkwinc.com,"Manufacturing, Productivity Tools","Beloit, Wisconsin, United States",Wisconsin Knife Works offers tools and production ideas as well as precision manufacturing of woodworking cutting tools.,"942,578",,,,,,,,,,,,
Dold Industries,https://www.crunchbase.com/organization/dold-industries,1928-01-01,year,251-500,,https://www.dold.co.uk,"Industrial Manufacturing, Manufacturing, Productivity Tools","Woodham Ferrers, Essex, United Kingdom","Dold Industries manufactures safety switch devices, safe automation products, speed monitors, and radio-controlled emergency stop systems.","1,466,532",,,,,,,,,,,,
Metalunion,https://www.crunchbase.com/organization/metalunion,1928-02-08,day,101-250,,http://www.metalunion.be,"Manufacturing, Productivity Tools, Sales","Brugge, Oost-Vlaanderen, Belgium","Metal union is into the manufacturing and sale of steel products such as beams, tubes, bars, nets, and cold-rolled U-profiles.","1,735,099","31,800","12,668.33",123.02%,75.97%,681,1.81,-2.4%,31.25%,9.38%,"1,148,022","-635,156",-35.62%
SunSource,https://www.crunchbase.com/organization/sunsource-2,1929-01-01,day,501-1000,,http://www.sun-source.com,"Energy, Industrial, Machinery Manufacturing, Productivity Tools, Renewable Energy, Solar, Supply Chain Management","Addison, Illinois, United States","SunSource Energy owns, develops, engineer, procures, constructs and operates solar energy projects globally.","171,491","26,756","25,377.5",19.19%,120.05%,"1,756",4.34,231.02%,47.22%,-38.1%,"1,288,559","-107,864",-7.72%
Maschinen Grupp,https://www.crunchbase.com/organization/maschinen-grupp,1930-01-01,year,101-250,,https://www.grupp.de/,"Machinery Manufacturing, Productivity Tools, Training, Wood Processing","Nattheim, Baden-Wurttemberg, Germany","Maschinen Grupp provides new and used woodworking machines, tools, accessories, operation planning, and training services.","1,630,376","1,150",,9%,,0,1,-66.67%,100%,,"6,895,009","92,869",1.37%
